var1,var2,value
parcel_Grass_P,build_p_otherpaved_300,0.2110908675231204
build_p_otherpaved_300,parcel_Grass_P,0.2110908675231204
ID_Build,build_p_road_300,0.21092520356958175
build_p_road_300,ID_Build,0.21092520356958175
build_near_dest,build_p_otherpaved_300,0.21024198105269762
build_p_otherpaved_300,build_near_dest,0.21024198105269762
build_p_tree_300,build_Mean_distroad,0.20949635169336353
build_Mean_distroad,build_p_tree_300,0.20949635169336353
build_p_grass_300,build_p_road_300,0.2094371388251612
build_p_road_300,build_p_grass_300,0.2094371388251612
build_min_dist_shrub,build_p_road_200,0.20757045790572135
build_p_road_200,build_min_dist_shrub,0.20757045790572135
build_p_tree_200,build_Mean_distroad,0.20649378500354587
build_Mean_distroad,build_p_tree_200,0.20649378500354587
build_p_shrub_100,build_p_soil_10,0.2056545861215901
build_p_soil_10,build_p_shrub_100,0.2056545861215901
build_min_dist_tree,build_p_otherpaved_10,0.20529545145029407
build_p_otherpaved_10,build_min_dist_tree,0.20529545145029407
build_min_dist_tree,build_p_soil_200,0.20493949305611273
build_p_soil_200,build_min_dist_tree,0.20493949305611273
build_p_soil_10,build_Mean_slope_30m_DEM,0.20458910579462455
build_Mean_slope_30m_DEM,build_p_soil_10,0.20458910579462455
build_p_shrub_100,build_p_soil_300,0.20406947179054513
build_p_soil_300,build_p_shrub_100,0.20406947179054513
parcel_Paved_P,build_p_road_300,0.2035345150591093
build_p_road_300,parcel_Paved_P,0.2035345150591093
build_p_tree_100,build_Mean_slope_30m_DEM,0.2032677133156208
build_Mean_slope_30m_DEM,build_p_tree_100,0.2032677133156208
ID_Build,build_p_otherpaved_100,0.20167349040642335
build_p_otherpaved_100,ID_Build,0.20167349040642335
parcel_Shrub_P,build_p_soil_10,0.20137768510030296
build_p_soil_10,parcel_Shrub_P,0.20137768510030296
parcel_Grass_P,build_p_building_100,0.19937375306224903
build_p_building_100,parcel_Grass_P,0.19937375306224903
build_near_dest,build_p_otherpaved_200,0.19909351628649655
