OBJECTID,IN_FID,Near_exp_dist,Near_exp_rank
6370,3185,626.956607,2
6371,3186,733.330867,1
6372,3186,733.330867,1
6373,3187,83.634349,1
6374,3187,105.743007,2
6375,3188,2978.632548,1
6376,3188,3963.823870,2
6377,3189,199.913506,1
6378,3189,288.467866,2
6379,3190,434.526627,1
6380,3190,667.549076,2
6381,3191,221.928298,1
6382,3191,425.207419,2
6383,3192,0.000000,1
6384,3192,14.130957,2
6385,3193,594.579437,1
6386,3193,707.340560,2
6387,3194,118.635996,1
6388,3194,473.021211,2
6389,3195,104.918169,1
6390,3195,194.278474,2
6391,3196,393.305022,1
6392,3196,1242.811468,2
6393,3197,743.966762,1
6394,3197,743.966762,1
6395,3198,0.000000,1
6396,3198,103.307948,2
6397,3199,698.480060,1
6398,3199,698.480060,1
6399,3200,2953.008341,1
6400,3200,3969.184045,2
6401,3201,61.565993,1
6402,3201,114.011510,2
6403,3202,200.282677,1
6404,3202,288.983747,2
6405,3203,72.200427,1
6406,3203,149.043886,2
6407,3204,382.354197,1
6408,3204,621.450709,2
6409,3205,189.689943,1
6410,3205,242.318208,2
6411,3206,702.443147,1
6412,3206,702.443147,1
6413,3207,126.700306,1
6414,3207,340.965417,2
6415,3208,214.917502,1
6416,3208,450.147348,2
6417,3209,3017.255581,1
6418,3209,3075.384668,2
6419,3210,318.295096,1
6420,3210,570.357656,2
6421,3211,519.390199,1
6422,3211,709.751677,2
6423,3212,424.178506,1
6424,3212,439.867557,2
6425,3213,1425.332637,1
6426,3213,1637.153608,2
6427,3214,630.186283,1
6428,3214,657.815406,2
6429,3215,156.965843,1
6430,3215,215.579106,2
6431,3216,694.882115,1
6432,3216,694.882115,1
6433,3217,805.585213,1
6434,3217,1289.314655,2
6435,3218,411.423179,1
6436,3218,762.750910,2
6437,3219,220.754804,1
6438,3219,626.900449,2
6439,3220,14.012582,1
6440,3220,44.604612,2
6441,3221,0.000000,1
6442,3221,113.823896,2
6443,3222,392.209620,1
6444,3222,928.506648,2
6445,3223,379.069521,1
6446,3223,397.196692,2
6447,3224,24.151188,1
6448,3224,24.236116,2
6449,3225,1089.943407,1
6450,3225,1537.735232,2
6451,3226,1116.619063,1
6452,3226,1561.059496,2
6453,3227,419.716903,1
6454,3227,1084.686028,2
6455,3228,1404.681478,1
6456,3228,1605.493264,2
6457,3229,58.957580,1
6458,3229,928.766715,2
6459,3230,482.668943,1
6460,3230,1018.198959,2
6461,3231,880.273225,1
6462,3231,1244.987741,2
6463,3232,0.000000,1
6464,3232,42.500282,2
6465,3233,0.000000,1
6466,3233,422.664487,2
6467,3234,2140.088862,1
6468,3234,2409.105110,2
6469,3235,7.184732,1
6470,3235,112.533844,2
6471,3236,868.486200,1
6472,3236,1340.685562,2
6473,3237,564.997248,1
6474,3237,564.997248,1
6475,3238,938.657483,1
6476,3238,1272.940674,2
6477,3239,742.577264,1
6478,3239,1163.523377,2
6479,3240,573.737863,1
6480,3240,573.737863,1
6481,3241,328.737769,1
6482,3241,404.709996,2
6483,3242,467.282541,1
6484,3242,606.301964,2
6485,3243,669.634913,1
6486,3243,1142.677282,2
6487,3244,688.424563,1
6488,3244,1130.417431,2
6489,3245,806.191079,1
6490,3245,1188.211500,2
6491,3246,1015.716484,1
6492,3246,1307.932496,2
6493,3247,1094.047849,1
6494,3247,1533.410199,2
6495,3248,691.414157,1
6496,3248,1128.327993,2
6497,3249,667.279743,1
6498,3249,1119.815871,2
6499,3250,22.459900,1
6500,3250,481.718425,2
6501,3251,469.054211,1
6502,3251,816.725581,2
6503,3252,0.000000,1
6504,3252,42.500282,2
6505,3253,690.658596,1
6506,3253,1119.616190,2
6507,3254,100.607070,1
6508,3254,184.695087,2
6509,3255,645.436938,1
6510,3255,1122.743665,2
6511,3256,697.395329,1
6512,3256,1115.340350,2
6513,3257,536.291551,1
6514,3257,536.291551,1
6515,3258,441.097175,1
6516,3258,805.085824,2
6517,3259,0.000000,1
6518,3259,21.662182,2
6519,3260,477.339695,1
6520,3260,490.894117,2
6521,3261,667.537137,1
6522,3261,1150.922877,2
6523,3262,132.583748,1
6524,3262,247.162635,2
6525,3263,0.000000,1
6526,3263,17.048239,2
6527,3264,1081.847605,1
6528,3264,1513.216583,2
6529,3265,626.746020,1
6530,3265,1068.483363,2
6531,3266,0.000000,1
6532,3266,17.048239,2
6533,3267,1183.288063,1
6534,3267,1247.139130,2
6535,3268,407.996263,1
6536,3268,807.111144,2
6537,3269,229.192149,1
6538,3269,350.004015,2
6539,3270,564.571036,1
6540,3270,628.294463,2
6541,3271,25.791132,1
6542,3271,39.197991,2
6543,3272,66.756999,1
6544,3272,112.501784,2
6545,3273,0.000000,1
6546,3273,1350.019087,2
6547,3274,242.517506,1
6548,3274,340.281569,2
6549,3275,380.364198,1
6550,3275,781.554827,2
6551,3276,618.150929,1
6552,3276,630.163521,2
6553,3277,600.408904,1
6554,3277,1027.611828,2
6555,3278,0.743033,1
6556,3278,16.525503,2
6557,3279,0.000000,1
6558,3279,987.857894,2
6559,3280,1311.727983,1
6560,3280,1553.543434,2
6561,3281,367.968446,1
6562,3281,704.431180,2
6563,3282,89.808367,1
6564,3282,99.066451,2
6565,3283,57.010133,1
6566,3283,80.327433,2
6567,3284,301.000507,1
6568,3284,1372.084923,2
6569,3285,1133.733201,1
6570,3285,1547.895805,2
6571,3286,528.286140,1
6572,3286,993.076228,2
6573,3287,0.000000,1
6574,3287,21.662182,2
6575,3288,83.806334,1
6576,3288,1311.274114,2
6577,3289,780.184896,1
6578,3289,1234.841807,2
6579,3290,74.704931,1
6580,3290,88.361143,2
6581,3291,998.068603,1
6582,3291,1226.552375,2
6583,3292,618.957075,1
6584,3292,854.595746,2
6585,3293,1120.351006,1
6586,3293,1154.395475,2
6587,3294,1063.598904,1
6588,3294,1137.838607,2
6589,3295,129.253782,1
6590,3295,194.928327,2
6591,3296,505.763483,1
6592,3296,947.639471,2
6593,3297,443.101485,1
6594,3297,443.684641,2
6595,3298,426.013827,1
6596,3298,489.141275,2
6597,3299,496.837188,1
6598,3299,498.774461,2
6599,3300,552.754058,1
6600,3300,948.912789,2
6601,3301,0.000000,1
6602,3301,29.274231,2
6603,3302,717.838137,1
6604,3302,962.395278,2
6605,3303,369.348418,1
6606,3303,369.348418,1
6607,3304,355.839406,1
6608,3304,401.334185,2
6609,3305,462.635400,1
6610,3305,482.873085,2
6611,3306,905.962449,1
6612,3306,992.965091,2
6613,3307,0.000000,1
6614,3307,23.705064,2
6615,3308,505.326085,1
6616,3308,916.292096,2
6625,3309,930.773687,1
6626,3309,975.077272,2
6627,3310,682.109644,1
6628,3310,844.189775,2
6629,3311,760.586484,1
6630,3311,964.188275,2
6631,3312,142.029277,1
6632,3312,192.689914,2
6633,3313,972.106956,1
6634,3313,1047.429208,2
6635,3314,927.411520,1
6636,3314,941.922044,2
6637,3315,0.000000,1
6638,3315,191.479534,2
6639,3316,913.588859,1
6640,3316,921.474139,2
6641,3317,243.679896,1
6642,3317,262.425739,2
6643,3318,986.798550,1
6644,3318,1135.943218,2
6645,3319,301.022921,1
6646,3319,301.022921,1
6647,3320,433.481005,1
6648,3320,490.160466,2
6649,3321,97.815431,1
6650,3321,137.929991,2
6651,3322,0.000000,1
6652,3322,29.274231,2
6653,3323,317.182752,1
6654,3323,361.370598,2
6655,3324,868.123605,1
6656,3324,940.309931,2
6657,3325,33.920510,1
6658,3325,170.219040,2
6659,3326,883.619606,1
6660,3326,951.443492,2
6661,3327,625.760471,1
6662,3327,949.996820,2
6663,3328,717.949347,1
6664,3328,982.911125,2
6665,3329,133.633456,1
6666,3329,434.190292,2
6667,3330,361.756925,1
6668,3330,361.756925,1
6669,3331,906.301931,1
6670,3331,981.463463,2
6671,3332,596.089409,1
6672,3332,1293.858461,2
6673,3333,53.272130,1
6674,3333,123.036304,2
6675,3334,884.239305,1
6676,3334,970.836379,2
6677,3335,763.195709,1
6678,3335,950.934589,2
6679,3336,16.312742,1
6680,3336,106.819267,2
6681,3337,136.096927,1
6682,3337,306.618815,2
6683,3338,2898.579774,1
6684,3338,4548.521161,2
6685,3339,300.206376,1
6686,3339,300.206376,1
6687,3340,882.654902,1
6688,3340,944.270248,2
6689,3341,507.918801,1
6690,3341,794.283648,2
6691,3342,1064.729660,1
6692,3342,1064.729660,1
6693,3343,2854.179751,1
6694,3343,4439.238423,2
6695,3344,205.267550,1
6696,3344,1027.398522,2
6697,3345,620.313483,1
6698,3345,869.748619,2
6699,3346,543.980857,1
6700,3346,619.658808,2
6701,3347,90.431490,1
6702,3347,322.107049,2
6703,3348,241.904470,1
6704,3348,244.559608,2
6705,3349,165.676863,1
6706,3349,192.720524,2
6707,3350,168.680175,1
6708,3350,185.862941,2
6709,3351,324.179398,1
6710,3351,363.847114,2
6711,3352,121.315119,1
6712,3352,211.335349,2
6713,3353,707.819338,1
6714,3353,925.840987,2
6715,3354,165.806980,1
6716,3354,263.778027,2
6717,3355,148.262347,1
6718,3355,658.514435,2
6719,3356,0.000000,1
6720,3356,431.971136,2
6721,3357,16.183529,1
6722,3357,191.452572,2
6723,3358,672.504996,1
6724,3358,776.594412,2
6725,3359,104.178569,1
6726,3359,601.864054,2
6727,3360,687.327914,1
6728,3360,789.203870,2
6729,3361,107.399100,1
6730,3361,137.650362,2
6731,3362,176.717211,1
6732,3362,249.403007,2
6733,3363,704.923257,1
6734,3363,846.785312,2
6735,3364,0.000000,1
6736,3364,153.541894,2
6737,3365,645.397776,1
6738,3365,747.519411,2
6739,3366,417.246754,1
6740,3366,417.246754,1
6741,3367,14.126469,1
6742,3367,456.336969,2
6743,3368,4.407884,1
6744,3368,172.108370,2
6745,3369,29.831526,1
6746,3369,158.089337,2
6617,3370,0.000000,1
6618,3370,0.000000,1
6619,3371,0.000000,1
6620,3371,0.000000,1
6747,3372,571.516708,1
6748,3372,822.757105,2
6749,3373,49.580537,1
6750,3373,430.563972,2
6751,3374,90.614725,1
6752,3374,212.478714,2
6753,3375,0.000000,1
6754,3375,176.702448,2
6755,3376,161.322732,1
6756,3376,199.461851,2
6757,3377,0.000000,1
6758,3377,4.582499,2
6759,3378,625.915418,1
6760,3378,722.859262,2
6761,3379,664.205535,1
6762,3379,664.205535,1
6763,3380,161.025775,1
6764,3380,179.131135,2
6765,3381,0.000000,1
6766,3381,4.582499,2
6767,3382,620.264689,1
6768,3382,686.955711,2
6769,3383,906.754922,1
6770,3383,1250.693201,2
6771,3384,2559.807706,1
6772,3384,4441.630075,2
6773,3385,11.207744,1
6774,3385,185.536992,2
6775,3386,599.038691,1
6776,3386,715.161727,2
6777,3387,894.098170,1
6778,3387,895.492513,2
6779,3388,148.675375,1
6780,3388,148.675375,1
6781,3389,836.469781,1
6782,3389,965.588792,2
6783,3390,849.173807,1
6784,3390,904.313852,2
6785,3391,1097.019690,1
6786,3391,1097.019690,1
6787,3392,25.432094,1
6788,3392,371.283979,2
6789,3393,800.048452,1
6790,3393,810.050445,2
6791,3394,50.221249,1
6792,3394,350.114024,2
6793,3395,38.395850,1
6794,3395,270.456241,2
6621,3396,0.000000,1
6622,3396,0.000000,1
6623,3397,0.000000,1
6624,3397,0.000000,1
6795,3398,2815.150030,1
6796,3398,4735.004653,2
6797,3399,55.183479,1
6798,3399,120.154187,2
6799,3400,89.198754,1
6800,3400,205.551785,2
6801,3401,878.432251,1
6802,3401,917.591432,2
6803,3402,538.090600,1
6804,3402,691.460307,2
6805,3403,781.840814,1
6806,3403,837.200372,2
6807,3404,103.524158,1
6808,3404,485.595804,2
6809,3405,2270.401516,1
6810,3405,4201.392911,2
6811,3406,99.073413,1
6812,3406,252.135546,2
6813,3407,987.009921,1
6814,3407,997.139457,2
6815,3408,0.000000,1
6816,3408,163.324262,2
6817,3409,497.137253,1
6818,3409,606.496209,2
6819,3410,596.355792,1
6820,3410,642.156560,2
6821,3411,51.955821,1
6822,3411,56.163378,2
6823,3412,89.955208,1
6824,3412,225.486328,2
6825,3413,775.505972,1
6826,3413,804.191405,2
6827,3414,245.806367,1
6828,3414,546.998956,2
6829,3415,280.919982,1
6830,3415,315.421349,2
6831,3416,665.514231,1
6832,3416,702.953403,2
6833,3417,0.000000,1
6834,3417,431.971136,2
6835,3418,648.451492,1
6836,3418,654.721716,2
6837,3419,2585.114381,1
6838,3419,4671.731605,2
6839,3420,121.679750,1
6840,3420,219.681114,2
6841,3421,296.190403,1
6842,3421,562.373067,2
6843,3422,2671.331412,1
