OBJECTID,IN_FID,Near_exp_dist,Near_exp_rank,Near_dest,Near_dst_rank
13830,6915,5267.333766,2,26.34080062,2
13831,6916,523.1341248,1,0,1
13832,6916,607.2539674,2,11.48427457,2
13833,6917,2228.348423,1,0,1
13834,6917,2714.710422,2,17.76916734,2
13835,6918,550.5148718,1,0,1
13836,6918,635.4071679,2,11.48427457,2
13837,6919,367.0780793,1,0,1
13838,6919,544.2152775,2,19.43242866,2
13839,6920,137.949812,1,0,1
13840,6920,1092.836063,2,5.424907479,2
13841,6921,119.1972655,1,0,1
13842,6921,1004.224145,2,20.23906112,2
13843,6922,365.8384167,1,0,1
13844,6922,6159.497792,2,31.91194616,2
13845,6923,5140.68289,1,0,1
13846,6923,5358.680341,2,44.72219153,2
13847,6924,2111.947284,1,0,1
13848,6924,2638.082058,2,80.66690815,2
13849,6925,32.32028005,1,0,1
13850,6925,6184.155117,2,31.91194616,2
13851,6926,326.0552929,1,0,1
13852,6926,506.0417794,2,14.4921581,2
13853,6927,509.7285212,1,0,1
13854,6927,579.0316084,2,54.93273694,2
13855,6928,86.95981073,1,0,1
13856,6928,1100.030062,2,5.424907479,2
13857,6929,1944.819866,1,0,1
13858,6929,2440.521578,2,49.77575643,2
13859,6930,678.7228794,1,0,1
13860,6930,6074.418931,2,186.5245369,2
13861,6931,346.3681629,1,0,1
13862,6931,527.2862631,2,1.577962831,2
13863,6932,5317.834947,1,0,1
13864,6932,5549.227884,2,38.44433739,2
13865,6933,69.84239236,1,0,1
13866,6933,1162.896592,2,10.42571298,2
13867,6934,82.49061228,1,0,1
13868,6934,1186.433766,2,10.42571298,2
13869,6935,1950.184819,1,0,1
13870,6935,2557.55885,2,103.1340832,2
13871,6936,372.4909794,1,0,1
13872,6936,550.4345267,2,1.577962831,2
13873,6937,627.203314,1,0,1
13874,6937,695.0232701,2,54.93273694,2
13875,6938,2044.925921,1,0,1
13876,6938,2777.64889,2,41.52848326,2
13877,6939,0,1,0,1
13878,6939,1082.257649,2,39.72369872,2
13879,6940,89.44264318,1,0,1
13880,6940,6110.865837,2,86.51124188,2
13881,6941,2057.559191,1,0,1
13882,6941,2874.000434,2,41.52848326,2
13883,6942,92.9524412,1,0,1
13884,6942,1205.28453,2,24.22508421,2
13885,6943,487.1955852,1,0,1
13886,6943,6149.482997,2,37.90212773,2
13887,6944,1690.951224,1,0,1
13888,6944,5890.76952,2,8.560800467,2
13889,6945,39.72369872,1,0,1
13890,6945,1138.183778,2,39.72369872,2
13891,6946,0,1,0,1
13892,6946,6033.76643,2,32.32028005,2
13893,6947,214.7585107,1,0,1
13894,6947,1304.973597,2,39.42411436,2
13895,6948,162.3484715,1,0,1
13896,6948,1274.479025,2,8.757999669,2
13897,6949,5352.934653,1,0,1
13898,6949,5577.698303,2,18.00639103,2
13899,6950,1759.255685,1,0,1
13900,6950,5836.343804,2,8.560800467,2
13901,6951,193.4479246,1,0,1
13902,6951,1304.967842,2,8.757999669,2
13903,6952,1595.18731,1,0,1
13904,6952,5866.642679,2,16.25758473,2
13905,6953,1786.166976,1,0,1
13906,6953,2269.305258,2,31.03286671,2
13907,6954,1817.176022,1,0,1
13908,6954,1820.001979,2,56.0358194,2
13909,6955,3614.584524,1,0,1
13910,6955,3634.23929,2,24.33881393,2
13911,6956,1893.168105,1,0,1
13912,6956,2654.630489,2,85.12871046,2
13913,6957,2270.576763,1,0,1
13914,6957,5676.041247,2,241.7742471,2
13915,6958,5435.883944,1,0,1
13916,6958,5667.583612,2,18.00639103,2
13917,6959,311.0632795,1,0,1
13918,6959,6031.733784,2,37.90212773,2
13919,6960,1622.08818,1,0,1
13920,6960,1867.349631,2,99.30793117,2
13921,6961,1524.045732,1,0,1
13922,6961,5822.979579,2,17.27624134,2
13923,6962,1540.126953,1,0,1
13924,6962,1943.543951,2,99.30793117,2
13925,6963,1699.336187,1,0,1
13926,6963,5784.25358,2,14.35988084,2
13927,6964,1719.495959,1,0,1
13928,6964,2194.293812,2,31.03286671,2
13929,6965,1802.455908,1,0,1
