OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK
781,391,107,167.2965273,1
782,391,127,180.7396634,2
783,392,122,223.0748529,1
784,392,135,322.3547133,2
785,393,112,19.11874396,1
786,393,109,108.0630631,2
787,394,119,0,1
788,394,126,34.01180756,2
789,395,86,7.800286774,1
790,395,115,31.5950252,2
791,396,117,58.09531514,1
792,396,113,108.2528018,2
793,397,135,277.1910973,1
794,397,108,426.1227838,2
795,398,120,0,1
796,398,116,35.09402523,2
797,399,135,259.5172139,1
798,399,122,325.719337,2
799,400,121,0,1
800,400,114,17.0640253,2
801,401,114,113.3333938,1
802,401,121,129.4037414,2
803,402,135,239.9492267,1
804,402,122,389.7192144,2
805,403,124,44.04400044,1
806,403,126,73.03660655,2
807,404,128,94.11297638,1
808,404,124,149.3857763,2
809,405,127,86.38263434,1
810,405,125,213.5581231,2
811,406,122,0,1
812,406,135,491.6056669,2
813,407,122,12.27282833,1
814,407,135,577.9677582,2
815,408,117,69.76277367,1
816,408,113,163.0858603,2
817,409,127,63.94987321,1
818,409,125,154.6846199,2
819,410,135,209.0008639,1
820,410,122,451.1921306,2
821,411,123,0,1
822,411,118,31.13241129,2
823,412,124,0,1
824,412,126,33.3977247,2
825,413,135,299.984873,1
826,413,108,362.5893296,2
827,414,117,147.4460982,1
828,414,113,230.8651113,2
829,415,117,210.9823709,1
830,415,113,304.1573761,2
831,416,132,104.7345886,1
832,416,130,109.0949772,2
833,417,108,291.1013172,1
834,417,86,451.9677343,2
835,418,135,338.1653741,1
836,418,108,338.3375156,2
837,419,127,31.61449839,1
838,419,125,185.6909348,2
839,420,135,211.0115882,1
840,420,108,409.1433297,2
841,421,135,188.6803755,1
842,421,108,464.1649864,2
843,422,122,218.6974583,1
844,422,135,250.0402281,2
845,423,135,299.2058883,1
846,423,108,364.0977672,2
847,424,135,193.9928866,1
848,424,122,240.8231175,2
849,425,117,143.0571748,1
850,425,120,170.438387,2
851,426,134,97.93257211,1
852,426,132,295.020926,2
853,427,121,117.7790345,1
854,427,114,136.6674813,2
855,428,125,0,1
856,428,129,39.65460653,2
857,429,117,262.5356578,1
858,429,138,354.865697,2
859,430,126,0,1
860,430,124,33.3977247,2
861,431,135,87.46734026,1
862,431,122,348.613575,2
863,432,122,219.3553194,1
864,432,135,226.6445286,2
865,433,131,5.625234055,1
866,433,120,69.79705353,2
867,434,127,0,1
868,434,137,142.3776891,2
869,435,126,21.26987139,1
870,435,141,48.92357025,2
871,436,128,0,1
872,436,124,40.51254236,2
873,437,87,67.30860806,1
874,437,139,121.9367299,2
875,438,129,0,1
876,438,125,39.65460653,2
877,439,130,0,1
878,439,132,56.20576135,2
879,440,132,151.9860388,1
880,440,134,160.0022196,2
881,441,131,0,1
882,441,138,55.18536166,2
883,442,125,384.2400926,1
884,442,129,399.5678354,2
885,443,135,228.4120939,1
886,443,122,234.5723935,2
887,444,125,281.204703,1
888,444,129,292.46033,2
889,445,135,268.8444159,1
890,445,108,343.2454071,2
891,446,131,2.046846742,1
892,446,138,63.21352715,2
893,447,138,32.21231559,1
894,447,131,39.83161323,2
895,448,138,161.9584229,1
896,448,131,223.0803526,2
897,449,135,129.1195451,1
898,449,122,345.4290664,2
899,450,132,0,1
900,450,130,56.20576135,2
901,451,135,94.77694675,1
902,451,151,514.987201,2
903,452,133,0,1
904,452,141,87.84098683,2
905,453,138,93.78569062,1
906,453,131,198.8538072,2
907,454,138,245.3790512,1
908,454,131,348.5949812,2
909,455,134,0,1
910,455,142,180.2617825,2
911,456,138,181.6714326,1
912,456,131,286.9255734,2
913,457,122,898.0000021,1
914,457,135,1355.862667,2
915,458,135,0,1
916,458,122,491.6056669,2
917,459,136,0,1
918,459,88,37.60440394,2
919,460,129,365.8102361,1
920,460,125,366.3975221,2
921,461,122,907.0975663,1
922,461,135,1363.539687,2
923,462,137,0,1
924,462,129,131.4143383,2
925,463,138,0,1
926,463,131,55.18536166,2
927,464,122,469.8935095,1
928,464,135,883.1820405,2
929,465,141,21.53346427,1
930,465,133,40.15658346,2
931,466,139,0,1
932,466,87,70.28550002,2
933,467,140,53.457449,1
934,467,144,91.17348577,2
935,468,138,55.83359282,1
936,468,131,196.5017713,2
937,469,140,0,1
938,469,144,145.8559821,2
939,470,138,206.9680686,1
940,470,131,333.9501798,2
941,471,138,145.8737437,1
942,471,131,277.546449,2
943,472,141,0,1
944,472,136,59.62554177,2
945,473,122,304.3406637,1
946,473,135,539.5369942,2
947,474,135,28.26178215,1
948,474,151,412.4066205,2
949,475,122,537.7666958,1
950,475,135,930.0369324,2
951,476,122,957.1253896,1
952,476,163,1376.386612,2
953,477,137,187.3968995,1
954,477,129,212.3830409,2
955,478,87,75.8625569,1
956,478,89,121.1374095,2
957,479,122,1032.813082,1
958,479,163,1428.188881,2
959,480,130,182.4578261,1
960,480,87,212.0181509,2
961,481,142,0,1
962,481,134,180.2617825,2
963,482,132,65.24427362,1
964,482,130,104.8707871,2
965,483,122,1099.66375,1
966,483,163,1475.593912,2
967,484,144,18.25156914,1
968,484,140,75.60704337,2
969,485,122,384.131122,1
970,485,135,506.014555,2
971,486,89,79.01059538,1
972,486,87,80.31393144,2
973,487,138,56.95344155,1
974,487,144,175.1294067,2
975,488,138,192.3399877,1
976,488,144,328.2312799,2
977,489,138,136.0009756,1
978,489,144,264.5458118,2
979,490,122,391.2864088,1
980,490,135,484.8888514,2
981,491,122,1239.241292,1
982,491,163,1544.985973,2
983,492,137,139.7806339,1
984,492,129,229.8504812,2
985,493,122,1264.799827,1
986,493,163,1549.646233,2
987,494,143,66.93860679,1
988,494,89,73.21223402,2
989,495,138,140.746315,1
990,495,144,240.2583777,2
991,496,142,71.57111221,1
992,496,134,131.5046064,2
993,497,122,1045.796725,1
994,497,163,1378.47779,2
995,498,122,1126.821077,1
996,498,163,1436.446595,2
997,499,122,409.8936741,1
998,499,135,542.6008189,2
999,500,137,204.5004942,1
1000,500,129,265.9900299,2
1001,501,142,140.3790983,1
1002,501,134,164.7666579,2
1003,502,122,1208.912043,1
1004,502,163,1495.614304,2
1005,503,142,186.2894291,1
1006,503,132,221.3311061,2
1007,504,89,52.99379401,1
1008,504,143,104.9760386,2
1009,505,138,191.6061724,1
1010,505,144,289.1000322,2
1011,506,143,0,1
1012,506,89,0.522593082,2
1013,507,144,0,1
1014,507,140,145.8559821,2
1015,508,151,217.1545085,1
1016,508,135,419.9637378,2
1017,509,142,189.7983529,1
1018,509,132,264.3257468,2
1019,510,122,1133.779011,1
1020,510,163,1389.098744,2
1021,511,89,67.72043672,1
1022,511,143,106.6954303,2
1023,512,122,1338.482544,1
1024,512,163,1558.893797,2
1025,513,135,228.3000688,1
1026,513,151,527.9952301,2
1027,514,122,525.7265927,1
1028,514,135,787.1129298,2
1029,515,145,0,1
