OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,Buildings_ParcelID_DINS_ID_Build
543,109,8,21.64502212,3,108
544,109,9,21.64502212,3,108
545,109,21,95.84413449,4,108
546,110,11,0,1,109
547,110,17,23.37195488,2,109
548,110,18,91.35288399,3,109
549,110,25,96.67273797,4,109
550,110,38,124.9100028,5,109
551,111,12,0,1,110
552,111,7,112.8913154,2,110
553,111,29,121.7608788,3,110
554,111,23,160.5954948,4,110
555,111,24,160.5954948,4,110
556,112,19,38.10204566,1,111
557,112,12,107.9549302,2,111
558,112,30,149.5592429,3,111
559,112,7,217.3801113,4,111
560,112,29,249.7178414,5,111
561,113,12,15.76397074,1,112
562,113,19,139.5178952,2,112
563,113,7,148.4448003,3,112
564,113,29,157.4249377,4,112
565,113,30,185.8996131,5,112
566,114,14,20.32326255,1,113
567,114,15,20.32326255,1,113
568,114,16,121.6071303,2,113
569,114,19,222.7050643,3,113
570,114,20,236.0856759,4,113
571,115,13,0,1,114
572,115,10,6.374171901,2,114
573,115,21,68.92226568,3,114
574,115,8,84.52132576,4,114
575,115,9,84.52132576,4,114
576,116,14,0,1,115
577,116,15,0,1,115
578,116,16,22.9984723,2,115
579,116,20,139.1840483,3,115
580,116,19,327.9760357,4,115
581,117,14,0,1,115
582,117,15,0,1,115
583,117,16,22.9984723,2,115
584,117,20,139.1840483,3,115
585,117,19,327.9760357,4,115
586,118,19,115.2819697,1,116
587,118,14,132.4591413,2,116
588,118,15,132.4591413,2,116
589,118,16,232.2243206,3,116
590,118,30,253.5055804,4,116
591,119,23,15.91917283,1,117
592,119,24,15.91917283,1,117
593,119,26,67.82554343,2,117
594,119,33,84.61688227,3,117
595,119,29,138.0449247,4,117
596,120,16,0,1,118
597,120,14,22.9984723,2,118
598,120,15,22.9984723,2,118
599,120,20,25.72704326,3,118
600,120,35,236.5226692,4,118
601,121,17,0,1,119
602,121,11,23.37195488,2,119
603,121,25,41.87999182,3,119
604,121,18,69.76007553,4,119
605,121,22,86.16540481,5,119
606,122,19,23.86792152,1,120
607,122,30,164.7436844,2,120
608,122,14,239.3109647,3,120
609,122,15,239.3109647,3,120
610,122,12,335.1640361,4,120
611,123,18,0,1,121
612,123,22,12.97194136,2,121
613,123,27,61.32158616,3,121
614,123,17,69.76007553,4,121
615,123,25,89.8685178,5,121
616,124,19,0,1,122
617,124,30,126.4437838,2,122
618,124,12,233.3960089,3,122
619,124,7,324.3543561,4,122
620,124,14,327.9760357,5,122
621,125,27,32.39091036,1,123
622,125,18,63.95412636,2,123
623,125,22,110.9418506,3,123
624,125,31,135.7323882,4,123
625,125,32,135.7323882,4,123
626,126,20,0,1,124
627,126,16,25.72704326,2,124
628,126,14,139.1840483,3,124
629,126,15,139.1840483,3,124
630,126,35,180.5952146,4,124
631,127,14,20.9027423,1,125
632,127,15,20.9027423,1,125
633,127,16,23.30760099,2,125
634,127,20,141.0366276,3,125
635,127,35,297.2791152,4,125
636,128,28,37.44058667,1,126
637,128,31,102.1540585,2,126
638,128,32,102.1540585,2,126
639,128,10,124.1312457,3,126
640,128,13,140.765467,4,126
641,129,20,30.97292796,1,127
642,129,16,130.9206999,2,127
643,129,38,133.7108168,3,127
644,129,34,135.4606201,4,127
645,129,35,172.3869272,5,127
646,130,21,0,1,128
647,130,13,68.92226568,2,128
648,130,10,95.84413449,3,128
649,130,8,152.3344626,4,128
650,130,9,152.3344626,4,128
651,131,23,20.90391348,1,129
652,131,24,20.90391348,1,129
653,131,29,28.47120744,2,129
654,131,26,80.96557059,3,129
655,131,12,114.7697342,4,129
656,132,22,0,1,130
657,132,18,12.97194136,2,130
658,132,27,29.46749119,3,130
659,132,25,59.86695849,4,130
660,132,17,86.16540481,5,130
661,133,23,0,1,131
662,133,24,0,1,131
663,133,26,7.350082404,2,131
664,133,29,73.75773157,3,131
665,133,33,113.9920836,4,131
666,134,23,0,1,131
667,134,24,0,1,131
668,134,26,7.350082404,2,131
669,134,29,73.75773157,3,131
670,134,33,113.9920836,4,131
671,135,30,103.8038974,1,132
672,135,12,123.9237313,2,132
673,135,29,150.0766367,3,132
674,135,19,193.4935983,4,132
675,135,23,279.7236264,5,132
676,136,25,0,1,133
677,136,17,41.87999182,2,133
678,136,22,59.86695849,3,133
679,136,38,64.6821632,4,133
680,136,18,89.8685178,5,133
681,137,19,130.9814213,1,134
682,137,14,213.3086553,2,134
683,137,15,213.3086553,2,134
684,137,30,216.9844102,3,134
685,137,16,300.7499032,4,134
686,138,26,0,1,135
687,138,23,7.350082404,2,135
688,138,24,7.350082404,2,135
689,138,33,68.60643853,3,135
690,138,29,99.72931947,4,135
691,139,27,0,1,136
692,139,22,29.46749119,2,136
693,139,37,58.91425225,3,136
694,139,18,61.32158616,4,136
695,139,31,101.4019435,5,136
696,140,28,0,1,137
697,140,13,95.59186061,2,137
698,140,31,102.7484877,3,137
699,140,32,102.7484877,3,137
700,140,10,103.706839,4,137
701,141,30,69.83623765,1,138
702,141,12,177.6069363,2,138
703,141,19,188.385305,3,138
704,141,29,210.6568944,4,138
705,141,23,344.0321625,5,138
706,142,29,0,1,139
707,142,23,73.75773157,2,139
708,142,24,73.75773157,2,139
709,142,26,99.72931947,3,139
710,142,12,121.7608788,4,139
711,143,29,23.0124134,1,140
712,143,23,61.14878317,2,140
713,143,24,61.14878317,2,140
714,143,26,71.94764748,3,140
715,143,33,186.3949745,4,140
716,144,16,111.759335,1,141
717,144,14,126.4642816,2,141
718,144,15,126.4642816,2,141
719,144,20,185.3286182,3,141
720,144,35,258.6759095,4,141
721,145,30,0,1,142
722,145,19,126.4437838,2,142
